timestamp,src_ip,dst_ip,protocol,length,flags,sport,dport
1745214415.498414,13.248.151.210,10.30.247.143,6,106,PA,443,49638
1745214415.49931,10.30.247.143,13.248.151.210,6,66,A,49638,443
1745214415.499999,10.30.247.143,13.248.151.210,6,108,PA,49638,443
1745214415.50057,10.30.247.143,13.248.151.210,6,108,PA,49638,443
1745214415.572511,13.248.151.210,10.30.247.143,6,66,A,443,49638
1745214416.004736,142.250.182.234,10.30.247.143,17,78,0,443,57000
1745214416.005501,142.250.182.234,10.30.247.143,17,78,0,443,57000
1745214416.0070899,10.30.247.143,142.250.182.234,17,75,0,57000,443
1745214416.017191,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214416.028668,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214416.232637,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214416.246316,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214416.450633,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214416.463292,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214416.669448,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214416.682801,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214416.884402,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214416.897074,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214417.023552,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214417.034976,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214417.0989141,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214417.111304,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214417.516813,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214417.539566,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214417.9788458,10.30.247.143,52.123.164.67,6,116,PA,50309,443
1745214418.00014,52.123.164.67,10.30.247.143,6,105,PA,443,50309
1745214418.00089,10.30.247.143,52.123.164.67,6,66,A,50309,443
1745214418.214689,10.30.247.143,104.18.10.200,6,54,A,51006,443
1745214418.343862,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214418.3559308,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214419.486451,142.250.182.234,10.30.247.143,17,78,0,443,57000
1745214419.487351,142.250.182.234,10.30.247.143,17,78,0,443,57000
1745214419.488228,10.30.247.143,142.250.182.234,17,76,0,57000,443
1745214419.499341,151.101.193.91,10.30.247.143,6,97,PA,443,50986
1745214419.500323,10.30.247.143,151.101.193.91,6,66,A,50986,443
1745214419.688822,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214419.701099,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214419.905365,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214419.917983,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214420.1201248,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214420.133087,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214420.338832,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214420.352096,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214420.5572171,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214420.569003,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214420.774064,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214420.786782,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214421.1871428,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214421.20627,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214421.7397609,34.120.52.64,10.30.247.143,6,93,PA,443,49403
1745214421.7405498,10.30.247.143,34.120.52.64,6,66,A,49403,443
1745214421.743668,10.30.247.143,34.120.52.64,6,97,PA,49403,443
1745214421.753948,34.120.52.64,10.30.247.143,6,66,A,443,49403
1745214422.0115101,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214422.031776,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214423.0499089,10.30.247.143,151.101.193.91,6,66,FA,50986,443
1745214423.0874119,151.101.193.91,10.30.247.143,6,66,A,443,50986
1745214423.088286,151.101.193.91,10.30.247.143,6,90,PA,443,50986
1745214423.088947,151.101.193.91,10.30.247.143,6,66,FA,443,50986
1745214423.089652,10.30.247.143,151.101.193.91,6,54,R,50986,443
1745214423.090267,10.30.247.143,151.101.193.91,6,54,R,50986,443
1745214423.5816169,142.250.183.106,10.30.247.143,17,120,0,443,57909
1745214423.584846,10.30.247.143,142.250.183.106,17,75,0,57909,443
1745214423.585802,140.82.113.26,10.30.247.143,6,92,PA,443,50954
1745214423.5864499,10.30.247.143,140.82.113.26,6,66,A,50954,443
1745214423.587044,10.30.247.143,140.82.113.26,6,96,PA,50954,443
1745214423.5931551,142.250.183.106,10.30.247.143,17,120,0,443,57909
1745214423.5943959,10.30.247.143,142.250.183.106,17,76,0,57909,443
1745214423.632336,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214423.644783,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214423.786486,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214423.7984939,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214423.825897,140.82.113.26,10.30.247.143,6,66,A,443,50954
1745214424.0012622,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214424.013163,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214424.216545,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214424.2281768,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214424.431251,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214424.4443321,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214424.645928,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214424.6568289,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214424.86011,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214424.8719869,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214425.278474,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214425.297761,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214425.952944,10.30.247.143,35.174.127.31,6,305,PA,49396,443
1745214426.098148,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214426.109059,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214426.161624,35.174.127.31,10.30.247.143,6,326,PA,443,49396
1745214426.162421,10.30.247.143,35.174.127.31,6,66,A,49396,443
1745214426.850583,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214426.865299,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214427.709764,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214427.729387,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214428.190597,104.18.10.200,10.30.247.143,6,90,PA,443,51006
1745214428.1909928,104.18.10.200,10.30.247.143,6,66,FA,443,51006
1745214428.191357,104.18.10.200,10.30.247.143,6,66,FA,443,51006
1745214428.191767,10.30.247.143,104.18.10.200,6,66,A,51006,443
1745214428.19217,10.30.247.143,104.18.10.200,6,66,A,51006,443
1745214428.192529,10.30.247.143,104.18.10.200,6,66,A,51006,443
1745214428.192875,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214428.3943691,104.18.10.200,10.30.247.143,6,90,FPA,443,51006
1745214428.395116,10.30.247.143,104.18.10.200,6,78,FA,51006,443
1745214428.422375,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214428.682854,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214428.820812,104.18.10.200,10.30.247.143,6,90,FPA,443,51006
1745214428.821537,10.30.247.143,104.18.10.200,6,78,FA,51006,443
1745214428.866068,10.30.247.143,142.251.10.188,6,54,A,49292,5228
1745214428.935243,142.251.10.188,10.30.247.143,6,66,A,5228,49292
1745214428.9611468,10.30.247.143,104.18.10.200,6,78,S,51018,443
1745214428.995453,104.18.10.200,10.30.247.143,6,74,SA,443,51018
1745214428.995989,10.30.247.143,104.18.10.200,6,66,A,51018,443
1745214428.9967098,10.30.247.143,104.18.10.200,6,1436,A,51018,443
1745214428.997292,10.30.247.143,104.18.10.200,6,646,PA,51018,443
1745214429.003789,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214429.028785,104.18.10.200,10.30.247.143,6,66,A,443,51018
1745214429.0295281,104.18.10.200,10.30.247.143,6,66,A,443,51018
1745214429.03458,104.18.10.200,10.30.247.143,6,1436,A,443,51018
1745214429.035402,104.18.10.200,10.30.247.143,6,1436,A,443,51018
1745214429.036014,10.30.247.143,104.18.10.200,6,66,A,51018,443
1745214429.03646,104.18.10.200,10.30.247.143,6,1024,PA,443,51018
1745214429.0372212,10.30.247.143,104.18.10.200,6,66,A,51018,443
1745214429.037726,10.30.247.143,104.18.10.200,6,130,PA,51018,443
1745214429.038293,10.30.247.143,104.18.10.200,6,1436,A,51018,443
1745214429.038663,10.30.247.143,104.18.10.200,6,1436,A,51018,443
1745214429.039031,10.30.247.143,104.18.10.200,6,1436,A,51018,443
1745214429.0393898,10.30.247.143,104.18.10.200,6,1079,PA,51018,443
1745214429.070241,104.18.10.200,10.30.247.143,6,66,A,443,51018
1745214429.070724,104.18.10.200,10.30.247.143,6,66,A,443,51018
1745214429.109716,10.30.247.143,104.18.10.200,6,1079,PA,51018,443
1745214429.112386,104.18.10.200,10.30.247.143,6,66,A,443,51018
1745214429.1427798,104.18.10.200,10.30.247.143,6,78,A,443,51018
1745214429.445631,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214429.511502,10.30.247.143,8.8.8.8,17,251,0,59709,443
1745214429.511907,10.30.247.143,8.8.8.8,17,251,0,59709,443
1745214429.5221398,8.8.8.8,10.30.247.143,17,67,0,443,59709
1745214429.522601,8.8.8.8,10.30.247.143,17,70,0,443,59709
1745214429.524189,8.8.8.8,10.30.247.143,17,603,0,443,59709
1745214429.524638,8.8.8.8,10.30.247.143,17,64,0,443,59709
1745214429.525106,8.8.8.8,10.30.247.143,17,571,0,443,59709
1745214429.525572,8.8.8.8,10.30.247.143,17,64,0,443,59709
1745214429.5261161,10.30.247.143,8.8.8.8,17,77,0,59709,443
1745214429.526577,10.30.247.143,8.8.8.8,17,77,0,59709,443
1745214429.527005,10.30.247.143,151.101.65.91,6,78,S,51019,443
1745214429.53641,8.8.8.8,10.30.247.143,17,65,0,443,59709
1745214429.555712,10.30.247.143,8.8.8.8,17,74,0,59709,443
1745214429.561686,8.8.8.8,10.30.247.143,17,64,0,443,59709
1745214429.562551,151.101.65.91,10.30.247.143,6,74,SA,443,51019
1745214429.563367,10.30.247.143,151.101.65.91,6,66,A,51019,443
1745214429.5642052,10.30.247.143,151.101.65.91,6,1436,A,51019,443
1745214429.564865,10.30.247.143,151.101.65.91,6,646,PA,51019,443
1745214429.565501,10.30.247.143,8.8.8.8,17,75,0,59709,443
1745214429.597559,151.101.65.91,10.30.247.143,6,66,A,443,51019
1745214429.598227,151.101.65.91,10.30.247.143,6,66,A,443,51019
1745214429.598947,151.101.65.91,10.30.247.143,6,1436,A,443,51019
1745214429.5995,151.101.65.91,10.30.247.143,6,245,PA,443,51019
1745214429.602637,10.30.247.143,151.101.65.91,6,66,A,51019,443
1745214429.6030378,10.30.247.143,151.101.65.91,6,130,PA,51019,443
